"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","trade_col","Net_Profit"
"37564","XAG_USD",-3.0257,2025-11-21 12:04:34,2025-11-21 11:39:42,5,0,0,1,NA,"Long",-3.0257
"37568","XAG_USD",-3.0257,2025-11-21 12:04:34,2025-11-21 11:39:44,5,0,0,1,NA,"Long",-3.0257
"37694","XAG_USD",-2.9825,2025-11-21 14:00:56,2025-11-21 12:39:57,5,0,0,1,NA,"Long",-2.9825
"37698","XAG_USD",2.34,2025-11-21 13:08:01,2025-11-21 12:39:58,5,0,0,1,NA,"Long",2.34
"37702","XAG_USD",1.7426,2025-11-21 12:55:01,2025-11-21 12:40:00,5,0,0,1,NA,"Long",1.7426
"37822","XAG_USD",-2.9947,2025-11-21 13:53:57,2025-11-21 13:39:45,5,0,0,1,NA,"Long",-2.9947
"37826","XAG_USD",-2.9923,2025-11-21 13:53:58,2025-11-21 13:39:47,5,0,0,1,NA,"Long",-2.9923
"37830","XAG_USD",-2.9814,2025-11-21 13:53:58,2025-11-21 13:39:48,5,0,0,1,NA,"Long",-2.9814
"37956","XAG_USD",-3.4992,2025-11-21 16:54:23,2025-11-21 14:40:02,5,0,0,1,NA,"Long",-3.4992
"37960","XAG_USD",-3.4992,2025-11-21 16:54:23,2025-11-21 14:40:03,5,0,0,1,NA,"Long",-3.4992
"37964","XAG_USD",-3.4992,2025-11-21 16:54:23,2025-11-21 14:40:05,5,0,0,1,NA,"Long",-3.4992
"38088","XAG_USD",-2.9942,2025-11-21 18:01:18,2025-11-21 15:40:18,5,0,0,1,NA,"Long",-2.9942
"38092","XAG_USD",-2.9787,2025-11-21 18:01:23,2025-11-21 15:40:20,5,0,0,1,NA,"Long",-2.9787
"38096","XAG_USD",-2.9835,2025-11-21 18:01:25,2025-11-21 15:40:21,5,0,0,1,NA,"Long",-2.9835
"38320","USD_CAD",-0.0137,2025-11-24 15:45:31,2025-11-21 18:40:15,621,0.0197,0,1,NA,"Long",0.006
"38324","USD_CAD",-0.0137,2025-11-24 15:45:31,2025-11-21 18:40:17,621,0.0197,0,1,NA,"Long",0.006
"38446","EUR_AUD",-3.003,2025-11-22 03:30:14,2025-11-21 19:41:07,429,0,0,1,NA,"Long",-3.003
"38450","USD_CAD",0.6515,2025-11-24 15:45:31,2025-11-21 19:41:10,621,0.0197,0,1,NA,"Long",0.6712
"38454","USD_CAD",2.9925,2025-11-22 03:04:33,2025-11-21 19:41:12,621,0,0,1,NA,"Long",2.9925
"38458","USD_CAD",2.3827,2025-11-22 02:36:28,2025-11-21 19:41:14,621,0,0,1,NA,"Long",2.3827
"38462","XAG_USD",-2.9936,2025-11-21 21:04:30,2025-11-21 19:41:17,5,0,0,1,NA,"Long",-2.9936
"38575","EUR_AUD",-3.0116,2025-11-22 03:40:01,2025-11-21 21:40:17,429,0,0,1,NA,"Long",-3.0116
"38579","EUR_AUD",-3.0073,2025-11-22 03:40:01,2025-11-21 21:40:19,429,0,0,1,NA,"Long",-3.0073
"38583","EUR_AUD",-3.003,2025-11-22 03:40:01,2025-11-21 21:40:20,429,0,0,1,NA,"Long",-3.003
"38587","USD_CAD",-0.0069,2025-11-24 15:45:31,2025-11-21 21:40:24,621,0.0197,0,1,NA,"Long",0.0128
"38591","USD_CAD",-0.0206,2025-11-24 15:45:31,2025-11-21 21:40:26,621,0.0197,0,1,NA,"Long",-0.000900000000000001
"38627","EUR_AUD",-3.003,2025-11-22 03:53:40,2025-11-21 22:40:24,429,0,0,1,NA,"Long",-3.003
"38631","EUR_AUD",-3.003,2025-11-22 03:53:40,2025-11-21 22:40:26,429,0,0,1,NA,"Long",-3.003
"38635","EUR_AUD",-3.003,2025-11-22 03:53:39,2025-11-21 22:40:27,429,0,0,1,NA,"Long",-3.003
