"id","Asset","realizedPL","date_closed","date_open","initialUnits","financing","dividendAdjustment","account_var","already_in_db","Net_Profit"
"24553","USB10Y_USD",-4.2525,2025-10-15 02:36:40,2025-10-14 23:02:54,14,-0.026,0,1,NA,-4.2785
"24561","BTC_USD",-8.95,2025-10-15 00:18:26,2025-10-15 00:03:16,0.01,0,0,1,NA,-8.95
"24565","EUR_NZD",0.5476,2025-10-15 14:24:39,2025-10-15 00:03:18,1080,-0.082,0,1,NA,0.4656
"24569","JP225Y_JPY",15.4845,2025-10-15 14:24:42,2025-10-15 00:03:20,2,-0.0782,0,1,NA,15.4063
"24573","LTC_USD",5.2604,2025-10-15 14:24:44,2025-10-15 00:03:22,0.76,-0.0921,0,1,NA,5.1683
"24577","USB10Y_USD",2.8023,2025-10-15 14:24:47,2025-10-15 00:03:24,14,-0.1047,0,1,NA,2.6976
"24591","BTC_USD",23.5128,2025-10-15 12:56:12,2025-10-15 01:03:06,0.01,-0.9177,0,1,NA,22.5951
"24595","EUR_NZD",0.085,2025-10-15 14:24:39,2025-10-15 01:03:08,1080,-0.082,0,1,NA,0.003
"24599","JP225Y_JPY",14.0687,2025-10-15 14:24:42,2025-10-15 01:03:10,2,-0.0782,0,1,NA,13.9905
"24603","LTC_USD",4.6334,2025-10-15 14:24:44,2025-10-15 01:03:12,0.76,-0.0921,0,1,NA,4.5413
"24607","USB10Y_USD",3.8076,2025-10-15 14:24:47,2025-10-15 01:03:14,14,-0.0974,0,1,NA,3.7102
"24611","BTC_USD",17.017,2025-10-15 12:56:08,2025-10-15 02:03:03,0.01,-0.9177,0,1,NA,16.0993
"24615","EUR_NZD",0.2738,2025-10-15 14:24:39,2025-10-15 02:03:05,1080,-0.082,0,1,NA,0.1918
"24619","JP225Y_JPY",10.4282,2025-10-15 14:24:42,2025-10-15 02:03:07,2,-0.0782,0,1,NA,10.35
"24623","LTC_USD",3.6579,2025-10-15 14:24:44,2025-10-15 02:03:08,0.76,-0.0921,0,1,NA,3.5658
"24627","USB10Y_USD",4.1285,2025-10-15 14:24:47,2025-10-15 02:03:10,14,-0.0901,0,1,NA,4.0384
"24635","BTC_USD",-9.0046,2025-10-15 04:00:54,2025-10-15 03:02:40,0.01,0,0,1,NA,-9.0046
"24639","EUR_NZD",0.2549,2025-10-15 14:24:39,2025-10-15 03:02:42,1080,-0.082,0,1,NA,0.1729
"24643","JP225Y_JPY",-3.721,2025-10-15 06:37:42,2025-10-15 03:02:44,2,0,0,1,NA,-3.721
"24647","LTC_USD",1.9857,2025-10-15 14:24:44,2025-10-15 03:02:46,0.76,-0.0921,0,1,NA,1.8936
"24651","USB10Y_USD",4.7916,2025-10-15 14:24:47,2025-10-15 03:02:47,14,-0.0828,0,1,NA,4.7088
"24657","BTC_USD",10.2929,2025-10-15 12:56:05,2025-10-15 04:02:45,0.01,-0.9177,0,1,NA,9.3752
"24661","EUR_NZD",-0.3051,2025-10-15 14:24:39,2025-10-15 04:02:47,1080,-0.082,0,1,NA,-0.3871
"24665","JP225Y_JPY",-3.7193,2025-10-15 06:37:32,2025-10-15 04:02:49,2,0,0,1,NA,-3.7193
"24669","LTC_USD",2.636,2025-10-15 14:24:44,2025-10-15 04:02:51,0.76,-0.0921,0,1,NA,2.5439
"24673","USB10Y_USD",1.7969,2025-10-15 14:24:47,2025-10-15 04:02:52,14,-0.0755,0,1,NA,1.7214
"24677","BTC_USD",-8.9869,2025-10-15 06:41:48,2025-10-15 05:02:37,0.01,0,0,1,NA,-8.9869
"24681","JP225Y_JPY",-3.7174,2025-10-15 06:37:12,2025-10-15 05:02:39,2,0,0,1,NA,-3.7174
"24685","LTC_USD",0.418,2025-10-15 14:24:44,2025-10-15 05:02:41,0.76,-0.0921,0,1,NA,0.3259
"24689","USB10Y_USD",1.4546,2025-10-15 14:24:47,2025-10-15 05:02:43,14,-0.0683,0,1,NA,1.3863
"24696","EUR_NZD",0.4248,2025-10-15 14:24:39,2025-10-15 06:02:42,1080,-0.082,0,1,NA,0.3428
"24700","JP225Y_JPY",-3.7179,2025-10-15 06:37:13,2025-10-15 06:02:44,2,0,0,1,NA,-3.7179
"24704","LTC_USD",-1.1612,2025-10-15 14:24:44,2025-10-15 06:02:46,0.76,-0.0921,0,1,NA,-1.2533
"24720","BTC_USD",-0.7481,2025-10-15 12:56:01,2025-10-15 07:02:41,0.01,-0.9177,0,1,NA,-1.6658
"24724","EUR_NZD",-1.3827,2025-10-15 14:24:39,2025-10-15 07:02:42,1080,-0.082,0,1,NA,-1.4647
"24728","JP225Y_JPY",11.1361,2025-10-15 14:24:42,2025-10-15 07:02:45,2,-0.0782,0,1,NA,11.0579
"24732","LTC_USD",-1.2667,2025-10-15 14:24:44,2025-10-15 07:02:47,0.76,-0.0921,0,1,NA,-1.3588
"24741","EUR_NZD",-0.143,2025-10-15 14:24:39,2025-10-15 09:02:51,1080,0,0,1,NA,-0.143
"24748","BTC_USD",-8.9689,2025-10-15 12:07:52,2025-10-15 11:02:53,0.01,0,0,1,NA,-8.9689
"24752","EUR_NZD",-0.9917,2025-10-15 14:24:39,2025-10-15 11:02:55,1080,0,0,1,NA,-0.9917
"24756","JP225Y_JPY",9.7203,2025-10-15 14:24:42,2025-10-15 11:02:57,2,0,0,1,NA,9.7203
"24760","LTC_USD",-0.4222,2025-10-15 14:24:44,2025-10-15 11:02:59,0.76,0,0,1,NA,-0.4222
"24764","USB10Y_USD",1.7969,2025-10-15 14:24:47,2025-10-15 11:03:01,14,-0.0245,0,1,NA,1.7724
"24770","EUR_NZD",-2.012,2025-10-15 14:24:39,2025-10-15 12:02:51,1080,0,0,1,NA,-2.012
"24774","JP225Y_JPY",4.2595,2025-10-15 14:24:42,2025-10-15 12:02:53,2,0,0,1,NA,4.2595
"24778","LTC_USD",-0.1877,2025-10-15 14:24:44,2025-10-15 12:02:55,0.76,0,0,1,NA,-0.1877
"24800","BTC_USD",-10.0066,2025-10-15 14:22:31,2025-10-15 13:02:51,0.01,0,0,1,NA,-10.0066
"24804","EUR_NZD",-0.801,2025-10-15 14:24:39,2025-10-15 13:02:52,1080,0,0,1,NA,-0.801
"24808","JP225Y_JPY",3.1471,2025-10-15 14:24:42,2025-10-15 13:02:54,2,0,0,1,NA,3.1471
"24812","LTC_USD",0,2025-10-15 14:24:44,2025-10-15 13:02:56,0.76,0,0,1,NA,0
"24816","BTC_USD",-9.7658,2025-10-15 14:22:31,2025-10-15 14:03:08,0.01,0,0,1,NA,-9.7658
"24820","EUR_NZD",-1.9262,2025-10-15 14:24:39,2025-10-15 14:03:10,1080,0,0,1,NA,-1.9262
"24824","JP225Y_JPY",-0.0899,2025-10-15 14:24:42,2025-10-15 14:03:12,2,0,0,1,NA,-0.0899
"24828","LTC_USD",-0.868,2025-10-15 14:24:44,2025-10-15 14:03:14,0.76,0,0,1,NA,-0.868
"24934","BTC_USD",21.9436,2025-10-15 19:31:15,2025-10-15 15:02:54,0.01,0,0,1,NA,21.9436
"24938","EUR_NZD",9.5875,2025-10-17 15:41:01,2025-10-15 15:02:56,1080,-0.3331,0,1,NA,9.2544
"24942","JP225Y_JPY",20.6029,2025-10-16 17:55:31,2025-10-15 15:02:58,2,-0.0801,0,1,NA,20.5228
"24946","LTC_USD",-3.9885,2025-10-16 04:00:33,2025-10-15 15:03:00,0.76,0,0,1,NA,-3.9885
"24950","BTC_USD",13.2037,2025-10-15 19:31:11,2025-10-15 16:04:08,0.01,0,0,1,NA,13.2037
"24954","EUR_NZD",12.2373,2025-10-17 16:41:00,2025-10-15 16:04:10,1080,-0.3331,0,1,NA,11.9042
"24958","JP225Y_JPY",-3.7726,2025-10-17 16:19:08,2025-10-15 16:04:12,2,-0.1608,0,1,NA,-3.9334
"24962","LTC_USD",-4.0071,2025-10-16 02:34:25,2025-10-15 16:04:14,0.76,0,0,1,NA,-4.0071
"24966","BTC_USD",14.3329,2025-10-15 19:31:07,2025-10-15 17:02:53,0.01,0,0,1,NA,14.3329
"24970","EUR_NZD",-4.0659,2025-10-16 12:49:16,2025-10-15 17:02:55,1080,-0.2457,0,1,NA,-4.3116
"24974","JP225Y_JPY",-3.7696,2025-10-17 17:36:11,2025-10-15 17:02:57,2,-0.1608,0,1,NA,-3.9304
"24978","LTC_USD",-4.0153,2025-10-16 00:48:54,2025-10-15 17:02:59,0.76,0,0,1,NA,-4.0153
"24982","USB10Y_USD",-4.2575,2025-10-16 02:54:34,2025-10-15 17:03:01,14,-0.0716,0,1,NA,-4.3291
"24986","BTC_USD",13.7372,2025-10-15 19:31:04,2025-10-15 18:03:04,0.01,0,0,1,NA,13.7372
"24990","EUR_NZD",14.3095,2025-10-17 18:31:01,2025-10-15 18:03:06,1080,-0.3331,0,1,NA,13.9764
"24994","JP225Y_JPY",-3.8762,2025-10-17 16:19:19,2025-10-15 18:03:07,2,-0.1608,0,1,NA,-4.037
"24998","LTC_USD",-4.0644,2025-10-16 02:31:48,2025-10-15 18:03:09,0.76,0,0,1,NA,-4.0644
"25002","USB10Y_USD",-4.2544,2025-10-15 23:17:03,2025-10-15 18:03:11,14,-0.038,0,1,NA,-4.2924
"25006","BTC_USD",10.0863,2025-10-15 19:31:00,2025-10-15 19:02:54,0.01,0,0,1,NA,10.0863
"25010","EUR_NZD",-4.0428,2025-10-15 21:26:54,2025-10-15 19:02:56,1080,0,0,1,NA,-4.0428
"25014","JP225Y_JPY",-3.7238,2025-10-16 04:11:06,2025-10-15 19:02:58,2,0,0,1,NA,-3.7238
"25018","LTC_USD",-4.0035,2025-10-16 00:48:56,2025-10-15 19:02:59,0.76,0,0,1,NA,-4.0035
"25022","USB10Y_USD",-4.2569,2025-10-16 02:54:05,2025-10-15 19:03:01,14,-0.057,0,1,NA,-4.3139
"25046","JP225Y_JPY",-3.7169,2025-10-16 04:00:57,2025-10-15 20:02:49,2,0,0,1,NA,-3.7169
"25050","USB10Y_USD",-4.2785,2025-10-16 02:54:06,2025-10-15 20:02:51,14,-0.0498,0,1,NA,-4.3283
"25056","JP225Y_JPY",-3.7158,2025-10-16 02:42:07,2025-10-15 22:02:44,2,0,0,1,NA,-3.7158
"25060","USB10Y_USD",-4.2774,2025-10-16 03:00:58,2025-10-15 22:02:46,14,-0.0361,0,1,NA,-4.3135
"25064","BTC_USD",-24.4326,2025-10-15 23:29:18,2025-10-15 22:50:28,0.03,0,0,1,NA,-24.4326
"25072","BTC_USD",-15.1665,2025-10-16 00:30:42,2025-10-16 00:16:13,0.03,0,0,1,NA,-15.1665
"25085","BTC_USD",-19.539,2025-10-16 01:41:42,2025-10-16 01:03:58,0.03,0,0,1,NA,-19.539
"25093","BTC_USD",-17.2303,2025-10-16 01:47:04,2025-10-16 01:42:37,0.03,0,0,1,NA,-17.2303
"25122","AU200_AUD",-2.89,2025-10-17 05:15:03,2025-10-16 13:26:10,0.1,0,0,1,NA,-2.89
"25126","BTC_USD",-9.4108,2025-10-16 15:47:31,2025-10-16 13:26:12,0.01,0,0,1,NA,-9.4108
"25130","EUR_NZD",3.1671,2025-10-20 09:53:10,2025-10-16 13:26:13,1078,-0.1766,0,1,NA,2.9905
"25134","JP225Y_JPY",-3.7483,2025-10-17 03:30:37,2025-10-16 13:26:15,2,0,0,1,NA,-3.7483
"25138","LTC_USD",-4.0289,2025-10-16 20:34:49,2025-10-16 13:26:17,0.76,0,0,1,NA,-4.0289
"25142","SG30_SGD",-3.9728,2025-10-16 15:31:05,2025-10-16 13:26:19,2.2,0,0,1,NA,-3.9728
"25146","SPX500_USD",-2.9423,2025-10-17 03:26:12,2025-10-16 13:26:21,0.1,0,0,1,NA,-2.9423
"25150","UK100_GBP",-6.6932,2025-10-17 05:12:18,2025-10-16 13:26:22,0.1,0,0,1,NA,-6.6932
"25154","AU200_AUD",-2.89,2025-10-17 05:15:33,2025-10-16 15:02:47,0.1,0,0,1,NA,-2.89
"25158","BTC_USD",-8.9878,2025-10-16 15:47:15,2025-10-16 15:02:49,0.01,0,0,1,NA,-8.9878
"25162","EUR_NZD",1.2728,2025-10-20 09:53:06,2025-10-16 15:02:51,1075,-0.1762,0,1,NA,1.0966
"25166","JP225Y_JPY",-3.7459,2025-10-17 03:30:05,2025-10-16 15:02:52,2,0,0,1,NA,-3.7459
"25170","LTC_USD",-4.0053,2025-10-16 20:35:01,2025-10-16 15:02:54,0.76,0,0,1,NA,-4.0053
"25174","SG30_SGD",-3.9523,2025-10-17 03:32:15,2025-10-16 15:02:56,2.2,0,0,1,NA,-3.9523
"25178","SPX500_USD",-2.9423,2025-10-17 03:26:12,2025-10-16 15:02:58,0.1,0,0,1,NA,-2.9423
"25182","UK100_GBP",-6.6924,2025-10-17 05:12:10,2025-10-16 15:03:00,0.1,0,0,1,NA,-6.6924
"25192","AU200_AUD",-2.89,2025-10-17 05:12:23,2025-10-16 16:02:31,0.1,0,0,1,NA,-2.89
"25196","BTC_USD",-9.5474,2025-10-16 18:55:56,2025-10-16 16:02:33,0.01,0,0,1,NA,-9.5474
"25200","EUR_NZD",3.1207,2025-10-20 09:53:03,2025-10-16 16:02:35,1075,-0.1762,0,1,NA,2.9445
"25204","JP225Y_JPY",-3.736,2025-10-17 02:30:15,2025-10-16 16:02:37,2,0,0,1,NA,-3.736
"25208","LTC_USD",-4.0009,2025-10-17 02:57:00,2025-10-16 16:02:38,0.76,0,0,1,NA,-4.0009
"25212","SG30_SGD",-3.9508,2025-10-17 03:30:30,2025-10-16 16:02:40,2.2,0,0,1,NA,-3.9508
"25216","SPX500_USD",-2.9575,2025-10-17 03:20:04,2025-10-16 16:02:42,0.1,0,0,1,NA,-2.9575
"25220","UK100_GBP",-6.6921,2025-10-17 05:12:11,2025-10-16 16:02:44,0.1,0,0,1,NA,-6.6921
"25224","BTC_USD",-8.948,2025-10-16 18:55:56,2025-10-16 17:03:01,0.01,0,0,1,NA,-8.948
"25228","CH20_CHF",18.7747,2025-10-16 18:26:01,2025-10-16 17:03:03,0.1,0,0,1,NA,18.7747
"25232","EUR_NZD",2.2816,2025-10-20 09:52:59,2025-10-16 17:03:05,1075,-0.1762,0,1,NA,2.1054
